175;2;15;7;Hess;5;24;1936;0.000;0;19.220;false
172;3;20;7;Linear algebra;5;83;70288;1.080;37.660;1.020;false
176;3;19;7;Linear algebra;5;110;66256;0.370;18.850;0.910;false
172;3;20;7;Hess;5;83;547;0.000;0;100.130;true
176;3;19;7;Hess;5;110;6177;0.000;0;99.990;true
179;5;15;5;Linear algebra;4;240;5796;0.670;37.040;0.070;false
179;5;15;5;Hess;4;240;5796;0.010;0;19.020;false
150;7;19;7;Linear algebra;5;4068;3389012;23.570;751.330;29.860;false
178;3;21;7;Linear algebra;5;105;33510;1.510;101.930;0.270;false
150;7;19;7;Hess;5;4068;4792;0.020;0;99.990;true
180;7;25;6;Linear algebra;3;276;2568456;1.520;35.310;39.450;false
181;3;14;5;Linear algebra;3;27;1156;0.110;2.440;0.010;false
181;3;14;5;Hess;3;27;1156;0.000;0;4.010;false
178;3;21;7;Hess;5;105;551;0.000;0;100.070;true
189;2;19;7;Linear algebra;5;28;3172;0.200;46.590;0.050;false
180;7;25;6;Hess;3;276;1708;0.000;0;100.010;true
187;2;17;7;Linear algebra;5;20;4714;0.340;22.950;0.040;false
192;5;21;7;Linear algebra;4;276;2611632;0.650;10.110;38.410;false
189;2;19;7;Hess;5;28;3043;0.000;0;100.000;true
187;2;17;7;Hess;5;20;196;0.000;0;102.000;true
192;5;21;7;Hess;4;276;20316;0.000;0;99.990;true
193;3;15;7;Linear algebra;5;114;19354;1.310;59.160;0.250;false
160;7;17;7;Linear algebra;6;23220;2228280;78.470;745.690;31.890;false
193;3;15;7;Hess;5;114;411;0.000;0;100.110;true
160;7;17;7;Hess;6;23220;12050;0.170;0;99.850;true
200;3;19;7;Linear algebra;5;98;81712;0.290;9.720;0.640;false
197;3;16;7;Linear algebra;6;177;4272;11.070;182.310;0.050;false
200;3;19;7;Hess;5;98;14225;0.000;0;100.000;true
197;3;16;7;Hess;6;177;4272;0.000;0;95.620;false
201;2;21;7;Linear algebra;5;29;7112;0.810;106.850;0.060;false
217;2;19;7;Linear algebra;5;26;2282;0.190;59.210;0.020;false
170;3;23;7;Linear algebra;5;116;81712;4.630;698.670;1.190;false
196;5;17;7;Linear algebra;6;3597;608058;29.460;487.670;5.400;false
217;2;19;7;Hess;5;26;2077;0.000;0;100.050;true
201;2;21;7;Hess;5;29;77;0.000;0;103.070;true
170;3;23;7;Hess;5;116;28;0.000;0;106.380;true
196;5;17;7;Hess;6;3597;2132;0.010;0;99.990;true
241;2;19;7;Linear algebra;5;24;2036;0.310;18.300;0.020;false
233;2;19;7;Linear algebra;5;25;8132;4.160;150.020;0.120;false
241;2;19;7;Hess;5;24;1322;0.000;0;100.060;true
247;2;21;7;Linear algebra;5;29;2320;1.270;116.550;0.020;false
233;2;19;7;Hess;5;25;1931;0.000;0;100.030;true
247;2;21;7;Hess;5;29;151;0.000;0;100.680;true
229;3;18;7;Linear algebra;5;79;22482;0.520;32.280;0.170;false
229;3;18;7;Hess;5;79;2679;0.000;0;100.000;true
198;5;29;7;Linear algebra;5;728;538728;21.610;9694.290;5.040;false
198;5;29;7;Hess;5;728;195;0.000;0;100.180;true
