FunctionField(Polynomial([PolynomialRing(GF(13)) | [4, 10, 9, 4, 0, 6, 7], [0, 10, 4, 12, 11, 7], [2, 9, 3, 10, 1], [8, 4, 10, 7], [9, 1, 12], [2, 5], [1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(11)) | [5, 4, 5, 8, 6, 9, 2], [4, 7, 9, 1, 3], [8, 9, 8, 8, 3], [9, 10, 2, 8], [7, 4, 1], [3, 9], [1]]));11;5;Original;124224;7.970
FunctionField(Polynomial([PolynomialRing(GF(13)) | [5, 12, 3, 2, 11, 7, 1], [6, 9, 12, 11, 4, 9], [9, 9, 5, 12, 10], [5, 2, 7, 6], [4, 4, 9], [4, 7], [1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [9, 12, 8, 5, 11, 4, 11], [7, 6, 10, 9, 9, 12], [2, 11, 2, 10, 1], [3, 6, 2, 5], [9, 9, 2], [12, 10], [1]]));13;5;Original;516900;2.870
FunctionField(Polynomial([PolynomialRing(GF(13)) | [4, 10, 9, 4, 0, 6, 7], [0, 10, 4, 12, 11, 7], [2, 9, 3, 10, 1], [8, 4, 10, 7], [9, 1, 12], [2, 5], [1]]));13;5;Linear algebra;295265;1.990
FunctionField(Polynomial([PolynomialRing(GF(13)) | [6, 6, 4, 3, 8, 12, 6], [0, 3, 3, 5, 9, 9], [4, 9, 0, 10, 3], [7, 10, 4, 6], [1, 11, 6], [6, 1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [5, 12, 3, 2, 11, 7, 1], [6, 9, 12, 11, 4, 9], [9, 9, 5, 12, 10], [5, 2, 7, 6], [4, 4, 9], [4, 7], [1]]));13;5;Linear algebra;335505;1.610
FunctionField(Polynomial([PolynomialRing(GF(13)) | [6, 6, 4, 3, 8, 12, 6], [0, 3, 3, 5, 9, 9], [4, 9, 0, 10, 3], [7, 10, 4, 6], [1, 11, 6], [6, 1]]));13;5;Linear algebra;387909;1.400
FunctionField(Polynomial([PolynomialRing(GF(11)) | [2, 6, 10, 3, 1, 6, 10], [6, 1, 9, 1, 6, 1], [7, 4, 8, 9, 1], [6, 0, 7, 9], [2, 2, 10], [2, 3], [1]]));11;5;Original;168759;15.960
FunctionField(Polynomial([PolynomialRing(GF(13)) | [6, 6, 4, 3, 8, 12, 6], [0, 3, 3, 5, 9, 9], [4, 9, 0, 10, 3], [7, 10, 4, 6], [1, 11, 6], [6, 1]]));13;5;Original;387909;3.350
FunctionField(Polynomial([PolynomialRing(GF(13)) | [5, 0, 6, 1, 11, 5, 5], [8, 5, 9, 10, 2, 3], [6, 9, 8, 8], [10, 3, 5, 7], [4, 8, 12], [9, 4], [1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [7, 2, 12, 1, 8, 9, 10], [8, 4, 4, 0, 11, 4], [5, 1, 8, 2, 6], [11, 3, 5, 5], [1, 6, 1], [10, 1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [5, 0, 6, 1, 11, 5, 5], [8, 5, 9, 10, 2, 3], [6, 9, 8, 8], [10, 3, 5, 7], [4, 8, 12], [9, 4], [1]]));13;5;Linear algebra;377108;1.570
FunctionField(Polynomial([PolynomialRing(GF(13)) | [7, 2, 12, 1, 8, 9, 10], [8, 4, 4, 0, 11, 4], [5, 1, 8, 2, 6], [11, 3, 5, 5], [1, 6, 1], [10, 1]]));13;5;Linear algebra;520595;1.550
FunctionField(Polynomial([PolynomialRing(GF(13)) | [7, 2, 12, 1, 8, 9, 10], [8, 4, 4, 0, 11, 4], [5, 1, 8, 2, 6], [11, 3, 5, 5], [1, 6, 1], [10, 1]]));13;5;Original;520595;3.470
FunctionField(Polynomial([PolynomialRing(GF(13)) | [4, 6, 11, 3, 0, 6, 6], [4, 7, 7, 8, 2, 4], [5, 6, 8, 1, 6], [9, 1, 7, 5], [11, 4, 12], [6, 2], [1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [4, 6, 11, 3, 0, 6, 6], [4, 7, 7, 8, 2, 4], [5, 6, 8, 1, 6], [9, 1, 7, 5], [11, 4, 12], [6, 2], [1]]));13;5;Linear algebra;380573;1.850
FunctionField(Polynomial([PolynomialRing(GF(13)) | [7, 3, 0, 2, 10, 8, 10], [2, 7, 11, 6, 2, 5], [12, 11, 11, 2, 1], [9, 6, 11, 7], [2, 12, 8], [10, 3], [1]]));13;5;Original;361368;15.640
FunctionField(Polynomial([PolynomialRing(GF(13)) | [7, 10, 0, 6, 6, 1, 11], [9, 3, 8, 3, 10, 1], [0, 10, 3, 11, 3], [0, 1, 11, 6], [12, 12], [1, 1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [4, 10, 9, 4, 0, 6, 7], [0, 10, 4, 12, 11, 7], [2, 9, 3, 10, 1], [8, 4, 10, 7], [9, 1, 12], [2, 5], [1]]));13;5;Original;295265;16.030
FunctionField(Polynomial([PolynomialRing(GF(13)) | [7, 10, 0, 6, 6, 1, 11], [9, 3, 8, 3, 10, 1], [0, 10, 3, 11, 3], [0, 1, 11, 6], [12, 12], [1, 1]]));13;5;Linear algebra;169633;2.030
FunctionField(Polynomial([PolynomialRing(GF(13)) | [6, 0, 11, 0, 4, 12, 12], [8, 11, 7, 3, 8, 5], [9, 11, 4, 9, 6], [7, 9, 9, 11], [4, 12, 12], [10, 11], [1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [6, 0, 11, 0, 4, 12, 12], [8, 11, 7, 3, 8, 5], [9, 11, 4, 9, 6], [7, 9, 9, 11], [4, 12, 12], [10, 11], [1]]));13;5;Linear algebra;565810;2.010
FunctionField(Polynomial([PolynomialRing(GF(13)) | [6, 0, 11, 0, 4, 12, 12], [8, 11, 7, 3, 8, 5], [9, 11, 4, 9, 6], [7, 9, 9, 11], [4, 12, 12], [10, 11], [1]]));13;5;Original;565810;2.150
FunctionField(Polynomial([PolynomialRing(GF(13)) | [9, 11, 0, 7, 0, 3, 7], [6, 8, 2, 3, 5, 10], [4, 2, 8, 7, 10], [1, 12, 0, 11], [12, 1, 10], [3, 2], [1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [9, 11, 0, 7, 0, 3, 7], [6, 8, 2, 3, 5, 10], [4, 2, 8, 7, 10], [1, 12, 0, 11], [12, 1, 10], [3, 2], [1]]));13;5;Linear algebra;288893;1.990
FunctionField(Polynomial([PolynomialRing(GF(13)) | [5, 0, 6, 1, 11, 5, 5], [8, 5, 9, 10, 2, 3], [6, 9, 8, 8], [10, 3, 5, 7], [4, 8, 12], [9, 4], [1]]));13;5;Original;377108;17.600
FunctionField(Polynomial([PolynomialRing(GF(13)) | [11, 1, 10, 2, 0, 12, 4], [9, 3, 2, 2, 5, 11], [2, 5], [12, 6, 4, 8], [6, 6, 3], [4, 12], [1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [11, 1, 10, 2, 0, 12, 4], [9, 3, 2, 2, 5, 11], [2, 5], [12, 6, 4, 8], [6, 6, 3], [4, 12], [1]]));13;5;Linear algebra;356880;1.810
FunctionField(Polynomial([PolynomialRing(GF(13)) | [7, 10, 0, 6, 6, 1, 11], [9, 3, 8, 3, 10, 1], [0, 10, 3, 11, 3], [0, 1, 11, 6], [12, 12], [1, 1]]));13;5;Original;169633;14.500
FunctionField(Polynomial([PolynomialRing(GF(13)) | [2, 7, 6, 12, 1, 6, 1], [8, 8, 7, 0, 0, 6], [10, 1, 4, 6, 1], [3, 4, 9, 6], [6, 3, 3], [4, 2], [1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [2, 7, 6, 12, 1, 6, 1], [8, 8, 7, 0, 0, 6], [10, 1, 4, 6, 1], [3, 4, 9, 6], [6, 3, 3], [4, 2], [1]]));13;5;Linear algebra;427721;1.740
FunctionField(Polynomial([PolynomialRing(GF(13)) | [4, 6, 11, 3, 0, 6, 6], [4, 7, 7, 8, 2, 4], [5, 6, 8, 1, 6], [9, 1, 7, 5], [11, 4, 12], [6, 2], [1]]));13;5;Original;380573;21.830
FunctionField(Polynomial([PolynomialRing(GF(13)) | [12, 7, 3, 9, 1, 6, 6], [11, 4, 5, 1, 0, 8], [4, 8, 8, 10, 2], [10, 5, 0, 3], [12, 0, 9], [10, 1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [5, 12, 3, 2, 11, 7, 1], [6, 9, 12, 11, 4, 9], [9, 9, 5, 12, 10], [5, 2, 7, 6], [4, 4, 9], [4, 7], [1]]));13;5;Original;335505;35.180
FunctionField(Polynomial([PolynomialRing(GF(13)) | [12, 7, 3, 9, 1, 6, 6], [11, 4, 5, 1, 0, 8], [4, 8, 8, 10, 2], [10, 5, 0, 3], [12, 0, 9], [10, 1]]));13;5;Linear algebra;387412;1.260
FunctionField(Polynomial([PolynomialRing(GF(13)) | [8, 12, 7, 6, 11, 2, 5], [7, 9, 3, 10, 3, 10], [1, 1, 11, 6, 10], [8, 6, 8, 3], [3, 8, 6], [6, 1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [9, 11, 0, 7, 0, 3, 7], [6, 8, 2, 3, 5, 10], [4, 2, 8, 7, 10], [1, 12, 0, 11], [12, 1, 10], [3, 2], [1]]));13;5;Original;288893;13.980
FunctionField(Polynomial([PolynomialRing(GF(13)) | [10, 7, 2, 1, 5, 10, 11], [10, 8, 12, 11, 8, 4], [6, 12, 0, 8, 4], [1, 7, 4, 9], [12, 6, 2], [7, 1], [1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [8, 12, 7, 6, 11, 2, 5], [7, 9, 3, 10, 3, 10], [1, 1, 11, 6, 10], [8, 6, 8, 3], [3, 8, 6], [6, 1]]));13;5;Linear algebra;427360;1.740
FunctionField(Polynomial([PolynomialRing(GF(13)) | [12, 7, 3, 9, 1, 6, 6], [11, 4, 5, 1, 0, 8], [4, 8, 8, 10, 2], [10, 5, 0, 3], [12, 0, 9], [10, 1]]));13;5;Original;387412;2.670
FunctionField(Polynomial([PolynomialRing(GF(13)) | [10, 7, 2, 1, 5, 10, 11], [10, 8, 12, 11, 8, 4], [6, 12, 0, 8, 4], [1, 7, 4, 9], [12, 6, 2], [7, 1], [1]]));13;5;Linear algebra;323804;1.720
FunctionField(Polynomial([PolynomialRing(GF(13)) | [1, 1, 7, 4, 0, 3, 2], [12, 10, 9, 7, 6, 1], [12, 12, 11, 7], [1, 9, 3, 1], [10, 10, 6], [5, 1], [1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [1, 1, 7, 4, 0, 3, 2], [12, 10, 9, 7, 6, 1], [12, 12, 11, 7], [1, 9, 3, 1], [10, 10, 6], [5, 1], [1]]));13;5;Linear algebra;572383;1.880
FunctionField(Polynomial([PolynomialRing(GF(13)) | [8, 12, 7, 6, 11, 2, 5], [7, 9, 3, 10, 3, 10], [1, 1, 11, 6, 10], [8, 6, 8, 3], [3, 8, 6], [6, 1]]));13;5;Original;427360;3.090
FunctionField(Polynomial([PolynomialRing(GF(13)) | [9, 1, 10, 11, 12, 2, 4], [11, 4, 3, 12, 10, 5], [4, 5, 8, 4, 12], [3, 2, 11, 7], [9, 7, 6], [0, 11], [1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [1, 1, 7, 4, 0, 3, 2], [12, 10, 9, 7, 6, 1], [12, 12, 11, 7], [1, 9, 3, 1], [10, 10, 6], [5, 1], [1]]));13;5;Original;572383;2.310
FunctionField(Polynomial([PolynomialRing(GF(13)) | [4, 2, 11, 12, 5, 1, 9], [0, 9, 10, 0, 1, 1], [1, 1, 12, 9, 8], [6, 9, 8, 2], [7, 11, 2], [], [1]]));13;5
FunctionField(Polynomial([PolynomialRing(GF(13)) | [9, 1, 10, 11, 12, 2, 4], [11, 4, 3, 12, 10, 5], [4, 5, 8, 4, 12], [3, 2, 11, 7], [9, 7, 6], [0, 11], [1]]));13;5;Linear algebra;325340;2.140
FunctionField(Polynomial([PolynomialRing(GF(13)) | [2, 7, 6, 12, 1, 6, 1], [8, 8, 7, 0, 0, 6], [10, 1, 4, 6, 1], [3, 4, 9, 6], [6, 3, 3], [4, 2], [1]]));13;5;Original;427721;12.570
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 0, 1, 1, 1, 1], [0, 1, 1], [1, 0, 0, 0, 1], [1], [1, 1], [1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(13)) | [4, 2, 11, 12, 5, 1, 9], [0, 9, 10, 0, 1, 1], [1, 1, 12, 9, 8], [6, 9, 8, 2], [7, 11, 2], [], [1]]));13;5;Linear algebra;327789;2.100
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 0, 1, 1, 1, 1], [0, 1, 1], [1, 0, 0, 0, 1], [1], [1, 1], [1]]));2;6;Linear algebra;1881;0.400
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 0, 1, 1, 1, 1], [0, 1, 1], [1, 0, 0, 0, 1], [1], [1, 1], [1]]));2;6;Original;1881;0.590
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 1], [0, 1, 1, 0, 1], [1, 0, 0, 1], [], [1, 1], [1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 1], [0, 1, 1, 0, 1], [1, 0, 0, 1], [], [1, 1], [1]]));2;6;Linear algebra;95;0.460
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 0, 0, 0, 1], [1, 0, 1, 1, 1], [0, 1, 1, 0, 1], [1, 0, 0, 1], [], [1, 1], [1]]));2;6;Original;95;0.680
FunctionField(Polynomial([PolynomialRing(GF(13)) | [11, 1, 10, 2, 0, 12, 4], [9, 3, 2, 2, 5, 11], [2, 5], [12, 6, 4, 8], [6, 6, 3], [4, 12], [1]]));13;5;Original;356880;22.080
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 0, 1, 0, 1], [0, 0, 0, 1], [0, 1, 1, 1, 1], [0, 0, 1], [0, 0, 1], [0, 1], [1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 1, 0, 1, 1, 1], [1, 0, 1, 1], [0, 1, 0, 1, 1], [1, 1], [0, 0, 1], [1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 0, 1, 0, 1], [0, 0, 0, 1], [0, 1, 1, 1, 1], [0, 0, 1], [0, 0, 1], [0, 1], [1]]));2;6;Linear algebra;72;0.290
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 0, 1, 0, 1], [0, 0, 0, 1], [0, 1, 1, 1, 1], [0, 0, 1], [0, 0, 1], [0, 1], [1]]));2;6;Original;72;0.320
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 1, 0, 1, 1, 1], [1, 0, 1, 1], [0, 1, 0, 1, 1], [1, 1], [0, 0, 1], [1]]));2;6;Linear algebra;41;0.530
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 1, 1, 0, 1], [0, 1, 1, 0, 0, 1], [0, 0, 1, 0, 1], [], [], [], [1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 1, 0, 1, 1, 1], [1, 0, 1, 1], [0, 1, 0, 1, 1], [1, 1], [0, 0, 1], [1]]));2;6;Original;41;0.750
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 1, 1, 0, 1], [0, 1, 1, 0, 0, 1], [0, 0, 1, 0, 1], [], [], [], [1]]));2;6;Linear algebra;195;0.640
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 0, 0, 1], [1, 0, 1], [1, 1], [1, 1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 0, 0, 1], [1, 0, 1], [1, 1], [1, 1]]));2;6;Linear algebra;85;0.290
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 1, 1, 0, 1], [0, 1, 1, 0, 0, 1], [0, 0, 1, 0, 1], [], [], [], [1]]));2;6;Original;195;0.870
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1], [1, 0, 0, 1], [1, 0, 1], [1, 1], [1, 1]]));2;6;Original;85;0.600
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 1, 0, 1, 0, 1], [1, 1, 1, 0, 1], [1, 0, 0, 1, 1], [1, 0, 1], [], [1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 1, 0, 1, 0, 1], [1, 1, 1, 0, 1], [1, 0, 0, 1, 1], [1, 0, 1], [], [1]]));2;6;Linear algebra;116;0.280
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 1, 1, 1, 1, 1], [0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 1], [0, 1, 1, 1], [0, 1], [1], [1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 1, 0, 1, 0, 1], [1, 1, 1, 0, 1], [1, 0, 0, 1, 1], [1, 0, 1], [], [1]]));2;6;Original;116;0.410
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 1, 1, 1, 1, 1], [0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 1], [0, 1, 1, 1], [0, 1], [1], [1]]));2;6;Linear algebra;180;0.480
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 1, 0, 0, 0, 1], [1, 0, 0, 1, 1, 1], [0, 1], [0, 1, 1], [1, 0, 1], [1], [1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(13)) | [10, 7, 2, 1, 5, 10, 11], [10, 8, 12, 11, 8, 4], [6, 12, 0, 8, 4], [1, 7, 4, 9], [12, 6, 2], [7, 1], [1]]));13;5;Original;323804;13.560
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 1], [0, 1, 1, 1, 1, 1], [0, 1, 1, 1], [], [], [1, 1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 1, 1, 1, 1, 1], [0, 1, 1, 0, 1, 1], [0, 0, 0, 0, 1], [0, 1, 1, 1], [0, 1], [1], [1]]));2;6;Original;180;0.680
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 1, 0, 0, 0, 1], [1, 0, 0, 1, 1, 1], [0, 1], [0, 1, 1], [1, 0, 1], [1], [1]]));2;6;Linear algebra;124;0.430
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1], [0, 1, 1, 0, 1], [1, 1, 0, 1], [1], [1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 1], [0, 1, 1, 1, 1, 1], [0, 1, 1, 1], [], [], [1, 1]]));2;6;Linear algebra;271;0.650
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 1, 0, 0, 0, 1], [1, 0, 0, 1, 1, 1], [0, 1], [0, 1, 1], [1, 0, 1], [1], [1]]));2;6;Original;124;0.750
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1], [0, 1, 1, 0, 1], [1, 1, 0, 1], [1], [1]]));2;6;Linear algebra;63;0.770
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 0, 1, 0, 1], [0, 0, 1, 1], [1, 0, 1, 1], [0, 1, 1], [], [1, 1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 1], [0, 1, 1, 1, 1, 1], [0, 1, 1, 1], [], [], [1, 1]]));2;6;Original;271;1.040
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 0, 1, 0, 1], [0, 0, 1, 1], [1, 0, 1, 1], [0, 1, 1], [], [1, 1]]));2;6;Linear algebra;254;0.490
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 1, 0, 0, 1], [1, 1, 0, 1], [0, 1, 1, 0, 1], [1, 1, 0, 1], [1], [1]]));2;6;Original;63;0.810
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 1, 0, 0, 1], [0, 1, 1], [0, 1, 1], [0, 1, 0, 1], [1, 1, 1], [0, 1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 0, 1, 0, 1], [0, 0, 1, 1], [1, 0, 1, 1], [0, 1, 1], [], [1, 1]]));2;6;Original;254;0.720
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 1, 0, 1, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1], [0, 1, 1], [1, 1], [1, 1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 1, 0, 0, 1], [0, 1, 1], [0, 1, 1], [0, 1, 0, 1], [1, 1, 1], [0, 1]]));2;6;Linear algebra;1182;0.750
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 1, 0, 1, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1], [0, 1, 1], [1, 1], [1, 1]]));2;6;Linear algebra;400;0.350
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 1, 1], [1, 1, 1, 1, 1], [0, 0, 1], [1, 1, 1], [0, 1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 1, 0, 1, 1], [1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1], [0, 1, 1], [1, 1], [1, 1]]));2;6;Original;400;0.300
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 1, 1], [1, 1, 1, 1, 1], [0, 0, 1], [1, 1, 1], [0, 1]]));2;6;Linear algebra;66;0.410
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 1, 0, 0, 0, 1], [0, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 1], [0, 1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 1, 0, 0, 1], [0, 1, 1], [0, 1, 1], [0, 1, 0, 1], [1, 1, 1], [0, 1]]));2;6;Original;1182;0.830
FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 1, 1], [1, 1, 1, 1, 1], [0, 0, 1], [1, 1, 1], [0, 1]]));2;6;Original;66;0.470
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 1, 1, 0, 1, 1], [0, 1, 1, 1, 0, 1], [1, 1, 1], [0, 0, 0, 1], [1, 0, 1], [], [1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 1, 0, 0, 0, 1], [0, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 1], [0, 1]]));2;6;Linear algebra;502;0.560
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 1, 1], [1], [1], [1], [], [1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 1, 1, 0, 1, 1], [0, 1, 1, 1, 0, 1], [1, 1, 1], [0, 0, 0, 1], [1, 0, 1], [], [1]]));2;6;Linear algebra;103;0.290
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 1, 0, 0, 0, 1], [0, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 1], [0, 1]]));2;6;Original;502;0.500
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 1, 1, 0, 1, 1], [0, 1, 1, 1, 0, 1], [1, 1, 1], [0, 0, 0, 1], [1, 0, 1], [], [1]]));2;6;Original;103;0.410
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 1, 1], [1], [1], [1], [], [1]]));2;6;Linear algebra;63;0.820
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 1, 1, 1, 1], [1, 1, 1, 1], [1, 0, 1, 1], [1, 1], [1], [0, 1], [1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 1, 1], [1, 0, 0, 1, 1], [0, 0, 1], [1, 1], [1]]));2;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 1, 1, 1, 1], [1, 1, 1, 1], [1, 0, 1, 1], [1, 1], [1], [0, 1], [1]]));2;6;Linear algebra;18;0.270
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 1, 1, 1, 1], [1, 1, 1, 1], [1, 0, 1, 1], [1, 1], [1], [0, 1], [1]]));2;6;Original;18;0.240
FunctionField(Polynomial([PolynomialRing(GF(3)) | [2, 1, 0, 1, 0, 0, 1], [0, 1, 0, 2, 2], [0, 1, 1, 2, 1], [0, 1, 0, 1], [0, 2, 1]]));3;6
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 0, 1, 1, 0, 1], [1, 1, 0, 1, 1], [1], [1], [1], [], [1]]));2;6;Original;63;1.010
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 1, 1], [1, 0, 0, 1, 1], [0, 0, 1], [1, 1], [1]]));2;6;Linear algebra;692;0.930
FunctionField(Polynomial([PolynomialRing(GF(3)) | [2, 1, 0, 1, 0, 0, 1], [0, 1, 0, 2, 2], [0, 1, 1, 2, 1], [0, 1, 0, 1], [0, 2, 1]]));3;6;Linear algebra;534;0.340
FunctionField(Polynomial([PolynomialRing(GF(3)) | [0, 0, 1, 1, 1, 0, 1], [0, 1, 2, 1, 2, 2], [2, 0, 1, 1, 1], [2, 2, 2], [0, 2, 2], [1, 1], [1]]));3;6
FunctionField(Polynomial([PolynomialRing(GF(3)) | [2, 1, 0, 1, 0, 0, 1], [0, 1, 0, 2, 2], [0, 1, 1, 2, 1], [0, 1, 0, 1], [0, 2, 1]]));3;6;Original;534;0.330
FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 1, 1], [1, 0, 0, 1, 1], [0, 0, 1], [1, 1], [1]]));2;6;Original;692;0.820
FunctionField(Polynomial([PolynomialRing(GF(3)) | [0, 0, 1, 1, 1, 0, 1], [0, 1, 2, 1, 2, 2], [2, 0, 1, 1, 1], [2, 2, 2], [0, 2, 2], [1, 1], [1]]));3;6;Linear algebra;1319;0.470
FunctionField(Polynomial([PolynomialRing(GF(3)) | [2, 1, 0, 1, 0, 1, 2], [0, 1, 0, 0, 1, 2], [0, 0, 1, 1], [1, 1], [1, 2, 1], [], [1]]));3;6
FunctionField(Polynomial([PolynomialRing(GF(3)) | [0, 0, 1, 1, 2, 0, 1], [2, 1, 2, 0, 1, 2], [2, 2, 2, 1, 2], [1, 1, 0, 2], [1, 0, 2], [0, 1], [1]]));3;6
FunctionField(Polynomial([PolynomialRing(GF(3)) | [0, 0, 1, 1, 1, 0, 1], [0, 1, 2, 1, 2, 2], [2, 0, 1, 1, 1], [2, 2, 2], [0, 2, 2], [1, 1], [1]]));3;6;Original;1319;0.720
FunctionField(Polynomial([PolynomialRing(GF(3)) | [0, 0, 1, 1, 2, 0, 1], [2, 1, 2, 0, 1, 2], [2, 2, 2, 1, 2], [1, 1, 0, 2], [1, 0, 2], [0, 1], [1]]));3;6;Linear algebra;603;0.500
