FunctionField(Polynomial([PolynomialRing(GF(3)) | [0, 2, 2], [2, 1]]));3;0;Original;1;0.030
FunctionField(Polynomial([PolynomialRing(GF(3)) | [1, 1, 2], [2, 1]]));3;0
FunctionField(Polynomial([PolynomialRing(GF(3)) | [2, 2, 2], [0, 1]]));3;0
FunctionField(Polynomial([PolynomialRing(GF(3)) | [1, 0, 1], [2, 2], [1]]));3;0
FunctionField(Polynomial([PolynomialRing(GF(3)) | [0, 1, 2], [2, 1], [1]]));3;0;Linear algebra;1;0.100
FunctionField(Polynomial([PolynomialRing(GF(3)) | [0, 1, 2], [2, 1], [1]]));3;0;Original;1;0.040
FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 3, 3], [0, 4], [1]]));5;0
FunctionField(Polynomial([PolynomialRing(GF(3)) | [1, 1, 2], [2, 1]]));3;0;Linear algebra;1;0.110
FunctionField(Polynomial([PolynomialRing(GF(3)) | [2, 2, 2], [0, 1]]));3;0;Linear algebra;1;0.130
FunctionField(Polynomial([PolynomialRing(GF(3)) | [1, 1, 2], [2, 1]]));3;0;Original;1;0.030
FunctionField(Polynomial([PolynomialRing(GF(3)) | [1, 0, 1], [2, 2], [1]]));3;0;Linear algebra;1;0.110
FunctionField(Polynomial([PolynomialRing(GF(3)) | [2, 2, 2], [0, 1]]));3;0;Original;1;0.040
FunctionField(Polynomial([PolynomialRing(GF(3)) | [1, 0, 1], [2, 2], [1]]));3;0;Original;1;0.040
FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 2, 2], [2, 2], [1]]));5;0
FunctionField(Polynomial([PolynomialRing(GF(5)) | [4, 2, 2], [2, 1]]));5;0
FunctionField(Polynomial([PolynomialRing(GF(5)) | [1, 4, 2], [0, 1], [1]]));5;0
FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 3, 3], [0, 4], [1]]));5;0;Linear algebra;1;0.180
FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 4, 3], [2], [1]]));5;0
FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 3, 3], [0, 4], [1]]));5;0;Original;1;0.050
FunctionField(Polynomial([PolynomialRing(GF(5)) | [4, 2, 2], [2, 1]]));5;0;Linear algebra;1;0.120
