11;2;0;Original;1;0.050
11;2;0;Linear algebra;1;0.120
11;3;1;Original;5;0.050
11;3;1;Linear algebra;5;0.120
11;7;1;Original;10;0.060
11;7;1;Linear algebra;10;0.190
11;17;1;Linear algebra;20;0.070
11;17;1;Original;20;0.120
11;31;1;Linear algebra;25;0.100
11;31;1;Original;25;0.110
11;59;1;Linear algebra;55;0.150
11;59;1;Original;55;0.220
11;97;1;Linear algebra;105;0.160
11;97;1;Original;105;0.420
14;3;1;Original;6;0.040
14;3;1;Linear algebra;6;0.090
14;17;1;Original;12;0.070
14;17;1;Linear algebra;12;0.260
14;31;1;Original;36;0.110
14;31;1;Linear algebra;36;0.130
14;59;1;Linear algebra;66;0.160
14;59;1;Original;66;0.230
14;97;1;Linear algebra;108;0.220
14;97;1;Original;108;0.440
15;2;1;Original;4;0.040
15;2;1;Linear algebra;4;0.110
15;7;1;Original;8;0.050
15;7;1;Linear algebra;8;0.160
15;17;1;Original;16;0.060
15;17;1;Linear algebra;16;0.250
15;31;1;Original;32;0.110
15;31;1;Linear algebra;32;0.190
15;59;1;Linear algebra;64;0.100
15;59;1;Original;64;0.220
15;97;1;Linear algebra;96;0.220
15;97;1;Original;96;0.430
17;2;0;Original;1;0.060
17;2;0;Linear algebra;1;0.140
17;3;1;Original;4;0.040
17;3;1;Linear algebra;4;0.100
17;7;1;Original;4;0.050
17;7;1;Linear algebra;4;0.190
17;31;1;Original;28;0.110
17;31;1;Linear algebra;28;0.120
17;59;1;Linear algebra;72;0.160
17;59;1;Original;72;0.220
17;97;1;Linear algebra;96;0.240
17;97;1;Original;96;0.370
19;2;0;Original;1;0.050
19;2;0;Linear algebra;1;0.120
19;3;1;Original;6;0.040
19;3;1;Linear algebra;6;0.100
19;7;1;Original;9;0.050
19;7;1;Linear algebra;9;0.110
19;17;1;Linear algebra;21;0.050
19;17;1;Original;21;0.090
19;31;1;Original;36;0.090
19;31;1;Linear algebra;36;0.100
19;59;1;Linear algebra;66;0.100
19;59;1;Original;66;0.250
19;97;1;Linear algebra;90;0.240
19;97;1;Original;90;0.480
20;3;1;Original;6;0.050
20;3;1;Linear algebra;6;0.120
20;7;1;Original;6;0.040
20;7;1;Linear algebra;6;0.170
20;17;1;Linear algebra;24;0.090
20;17;1;Original;24;0.120
20;31;1;Original;36;0.120
20;31;1;Linear algebra;36;0.170
20;59;1;Linear algebra;48;0.140
20;59;1;Original;48;0.240
20;97;1;Linear algebra;96;0.250
20;97;1;Original;96;0.510
21;2;1;Original;4;0.040
21;2;1;Linear algebra;4;0.080
