Function field,Finite field,Genus,Method,Class number,Time,Timeout
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 1, 1, 0, 1, 1], [1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 1], [0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1], [0, 1], [1]]))",2,7,Magma,134,0.730,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 1, 0, 1, 1, 1, 1], [0, 1, 0, 1, 1], [0, 1, 1], [0, 1, 1, 1, 1], [], [0, 0, 1], [1]]))",2,7,Magma,133,0.900,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 1, 1, 0, 1, 1, 1, 0, 1], [0, 1, 1, 1, 1, 0, 1, 1, 1], [0, 1], [1, 1, 0, 1, 1], [0, 0, 1, 1], [1, 1, 1, 1, 1], [1, 1], [1, 0, 1], [], [1]]))",2,10,Linear algebra,333,1.550,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1], [0, 1, 1, 1, 1], [1, 0, 1], [1, 1], [1, 0, 1], [1]]))",2,7,Magma,611,1.160,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 0, 0, 0, 1], [0, 1, 1], [1, 1, 0, 0, 1, 1], [1, 0, 0, 0, 1], [0, 0, 1], [], [], [1]]))",2,10,Linear algebra,5254,2.600,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 1, 1, 0, 1, 1, 1, 0, 1], [0, 1, 1, 1, 1, 0, 1, 1, 1], [0, 1], [1, 1, 0, 1, 1], [0, 0, 1, 1], [1, 1, 1, 1, 1], [1, 1], [1, 0, 1], [], [1]]))",2,10,Magma,333,1.570,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 1, 0, 1, 1, 1, 0, 1], [0, 1, 1, 0, 0, 1, 1, 1, 1], [1, 0, 0, 0, 0, 1, 0, 1], [0, 1, 0, 1], [1, 0, 0, 0, 0, 1], [0, 0, 1, 0, 1], [1, 1, 0, 1], [0, 0, 1], [1, 1]]))",2,10,Linear algebra,1534,2.930,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 0, 2, 4], [4, 4, 1], [2, 4], [1]]))",5,1,Linear algebra,10,0.220,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 0, 2, 4], [4, 4, 1], [2, 4], [1]]))",5,1,Magma,10,0.090,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [2, 0, 3, 3], [3, 4], [0, 2], [1]]))",5,1,Linear algebra,6,0.130,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [2, 0, 3, 3], [3, 4], [0, 2], [1]]))",5,1,Magma,6,0.060,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [1, 0, 0, 2], [3, 0, 1], [0, 4], [1]]))",5,1,Linear algebra,8,0.080,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [1, 0, 0, 2], [3, 0, 1], [0, 4], [1]]))",5,1,Magma,8,0.060,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 1, 1, 1, 0, 1, 0, 1, 1], [0, 0, 0, 1, 0, 1, 0, 0, 1], [0, 0, 1, 1, 0, 0, 1, 1], [0, 1, 1, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1], [1, 1, 0, 1, 1], [1, 0, 1], [1], [1]]))",2,10,Linear algebra,1166,3.940,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [4, 1, 2, 2], [2, 1, 4], [4, 1], [1]]))",5,1,Linear algebra,5,0.150,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [4, 1, 2, 2], [2, 1, 4], [4, 1], [1]]))",5,1,Magma,5,0.080,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 0, 3, 4], [1, 2, 2], [3, 1], [1]]))",5,1,Linear algebra,9,0.220,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 0, 3, 4], [1, 2, 2], [3, 1], [1]]))",5,1,Magma,9,0.070,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 0, 0, 0, 1], [0, 1, 1], [1, 1, 0, 0, 1, 1], [1, 0, 0, 0, 1], [0, 0, 1], [], [], [1]]))",2,10,Magma,5254,2.420,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 3, 1, 4, 0, 2], [2, 1, 1, 2], [4, 0, 0, 1], [4, 3, 3], [4], [1]]))",5,4,Linear algebra,830,0.150,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 2, 0, 3, 3, 4], [4, 3, 3, 3, 3], [4, 3, 1], [4, 4, 2], [4, 1], [1]]))",5,4,Linear algebra,384,0.430,false
"FunctionField(Polynomial([FunctionField(GF(2)) | [0, 0, 0, 1, 0, 1, 1, 0, 0, 1], [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 1, 1, 1, 1, 1], [0, 0, 1, 1, 0, 0, 0, 1], [0, 0, 1, 0, 0, 1, 1, 1], [1, 0, 0, 1, 0, 1, 1], [1, 0, 0, 0, 1], [1, 0, 0, 0, 1]]))",2,13,Linear algebra,60944,4.480,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 1, 1, 0, 1, 1, 1, 1, 1], [1, 0, 1, 0, 1, 1, 0, 1], [1, 0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 1], [1, 1, 0, 1, 1, 1], [0, 1], [0, 0, 1], [1, 1], [1]]))",2,10,Linear algebra,1710,5.450,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 3, 1, 4, 0, 2], [2, 1, 1, 2], [4, 0, 0, 1], [4, 3, 3], [4], [1]]))",5,4,Magma,830,0.990,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 2, 0, 3, 3, 4], [4, 3, 3, 3, 3], [4, 3, 1], [4, 4, 2], [4, 1], [1]]))",5,4,Magma,384,0.420,false
