Function field,Finite field,Genus,Method,Class number,Time,Timeout
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [8, 11, 5, 11, 9, 6], [5, 5, 3, 7], [1, 11, 8, 3], [1, 4, 5], [0, 9], [1]]))",13,4,Magma,39169,1.090,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [5, 1, 9, 7, 12, 11], [11, 5, 8, 9, 4], [12, 1, 8, 4], [2, 1, 11], [0, 2], [1]]))",13,4,Linear algebra,55785,1.010,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [5, 1, 9, 7, 12, 11], [11, 5, 8, 9, 4], [12, 1, 8, 4], [2, 1, 11], [0, 2], [1]]))",13,4,Magma,55785,1.180,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [6, 2, 1, 7, 9, 9], [1, 0, 11, 3, 8], [12, 0, 0, 9], [7, 0, 4], [7], [1]]))",13,4,Linear algebra,31490,0.880,false
"FunctionField(Polynomial([FunctionField(GF(2)) | [0, 1, 0, 0, 1, 0, 1, 1], [0, 1, 1, 1, 1, 1, 0, 0, 0, 1], [0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1], [0, 1], [0, 0, 1, 1, 1, 0, 0, 0, 1], [0, 1, 1, 1, 0, 1, 0, 1], [1, 0, 0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 0, 1], [0, 1, 0, 1], [1, 0, 1]]))",2,13,Magma,363218,40.300,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [6, 2, 1, 7, 9, 9], [1, 0, 11, 3, 8], [12, 0, 0, 9], [7, 0, 4], [7], [1]]))",13,4,Magma,31490,1.240,false
"FunctionField(Polynomial([FunctionField(GF(2)) | [1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1], [0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1], [0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1], [0, 0, 1, 1, 0, 1, 0, 0, 1, 1], [0, 0, 0, 1, 0, 1, 1, 1, 1], [0, 0, 1, 1, 0, 0, 0, 1], [1, 1, 0, 1], [0, 0, 1, 0, 1], [1, 1, 0, 1, 1], [0, 1, 0, 1]]))",2,13,Magma,64092,51.260,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [0, 10, 8, 3, 5, 3, 2, 3], [11, 8, 1, 6, 1, 10, 3], [12, 0, 2, 6, 8, 5], [12, 4, 8, 8, 10], [1, 12, 3, 6], [1, 4, 11], [9], [1]]))",13,7,Linear algebra,125156686,3.400,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [3, 1, 6, 8, 3, 10, 0, 7], [12, 9, 2, 6, 0, 9, 8], [7, 8, 10, 5, 6, 4], [6, 12, 1, 7, 2], [3, 10, 2, 1], [9, 9, 11], [0, 8], [1]]))",13,7,Linear algebra,57334050,5.250,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [1, 6, 10, 3, 1, 4, 8, 9], [3, 10, 2, 1, 0, 10, 10], [5, 0, 4, 0, 5, 1], [11, 2, 9, 7, 1], [11, 6, 1, 6], [2, 1, 10], [0, 11], [1]]))",13,7,Linear algebra,59682109,3.870,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 4, 2, 1, 3, 4, 3, 4, 0, 4], [4, 0, 1, 1, 2, 1, 1, 2, 3], [1, 3, 2, 3, 4, 2, 3, 4], [0, 4, 4, 3, 0, 4], [3, 1, 1, 0, 4, 3], [2, 1, 2, 4], [2, 3, 1, 1], [4, 2, 3], [3], [1]]))",5,10,Magma,25944380,93.740,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [9, 6, 2, 5, 12, 1, 3, 8], [2, 8, 12, 5, 5, 3, 10], [5, 11, 7, 6, 10, 2], [4, 6, 1, 7, 10], [0, 5, 2, 4], [5, 0, 7], [7, 4], [1]]))",13,7,Linear algebra,68221466,3.750,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [3, 1, 6, 8, 3, 10, 0, 7], [12, 9, 2, 6, 0, 9, 8], [7, 8, 10, 5, 6, 4], [6, 12, 1, 7, 2], [3, 10, 2, 1], [9, 9, 11], [0, 8], [1]]))",13,7,Magma,57334050,52.560,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [0, 10, 8, 3, 5, 3, 2, 3], [11, 8, 1, 6, 1, 10, 3], [12, 0, 2, 6, 8, 5], [12, 4, 8, 8, 10], [1, 12, 3, 6], [1, 4, 11], [9], [1]]))",13,7,Magma,125156686,53.790,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [7, 3, 0, 10, 2, 11, 0, 8], [10, 10, 6, 0, 9, 9], [5, 3, 8, 5, 6, 11], [2, 12, 10, 9, 3], [3, 10, 11, 2], [1, 0, 4], [5, 7], [1]]))",13,7,Linear algebra,140121734,3.150,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [1, 6, 10, 3, 1, 4, 8, 9], [3, 10, 2, 1, 0, 10, 10], [5, 0, 4, 0, 5, 1], [11, 2, 9, 7, 1], [11, 6, 1, 6], [2, 1, 10], [0, 11], [1]]))",13,7,Magma,59682109,58.400,false
"FunctionField(Polynomial([FunctionField(GF(5)) | [2, 2, 2, 4, 0, 3, 0, 2, 3, 0, 4, 0, 0, 3], [3, 0, 1, 1, 4, 4, 1, 2, 1, 4, 0, 0, 4], [2, 0, 1, 2, 0, 1, 3, 1, 2, 3, 3, 1], [2, 0, 0, 2, 1, 3, 1, 3, 2, 0, 2], [4, 2, 2, 3, 0, 1, 2, 4, 1, 1], [2, 0, 3, 3, 2, 1, 3, 4], [0, 1, 0, 4, 2, 3, 3, 2], [3, 0, 2, 3, 0, 3, 4], [2, 1, 0, 0, 3, 3], [4, 0, 3], [0, 0, 1, 4], [4, 4, 4], [1]]))",5,13,Linear algebra,1980212793,143.920,false
"FunctionField(Polynomial([FunctionField(GF(5)) | [1, 2, 0, 3, 1, 0, 1, 3, 4, 4, 0, 3, 2, 4], [1, 0, 3, 0, 0, 4, 3, 4, 3, 4], [0, 0, 0, 3, 0, 1, 4, 2, 1, 0, 0, 4], [3, 1, 3, 0, 0, 4, 3, 4, 3, 4, 2], [1, 4, 1, 3, 0, 3, 1, 4, 3], [4, 3, 2, 3, 4, 3, 0, 4, 3], [1, 0, 0, 4, 0, 1, 1, 1], [2, 2, 3, 2, 1, 0, 3], [0, 0, 0, 4, 1, 3], [4, 1, 1, 3], [3, 1, 4, 1], [2, 2, 3], [1]]))",5,13,Linear algebra,2039172352,149.230,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [7, 3, 0, 10, 2, 11, 0, 8], [10, 10, 6, 0, 9, 9], [5, 3, 8, 5, 6, 11], [2, 12, 10, 9, 3], [3, 10, 11, 2], [1, 0, 4], [5, 7], [1]]))",13,7,Magma,140121734,47.190,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [9, 6, 2, 5, 12, 1, 3, 8], [2, 8, 12, 5, 5, 3, 10], [5, 11, 7, 6, 10, 2], [4, 6, 1, 7, 10], [0, 5, 2, 4], [5, 0, 7], [7, 4], [1]]))",13,7,Magma,68221466,61.250,false
"FunctionField(Polynomial([FunctionField(GF(5)) | [2, 1, 2, 1, 0, 2, 4, 4, 3, 3, 3, 3, 1, 2], [2, 4, 2, 2, 0, 1, 1, 3, 3, 4, 0, 4], [3, 2, 3, 1, 4, 4, 3, 1, 4, 4, 3, 2], [0, 2, 2, 4, 2, 1, 3, 4, 1, 0, 4], [1, 2, 3, 0, 4, 1, 2, 0, 1, 3], [3, 1, 4, 4, 2, 1, 2, 1, 1], [2, 0, 0, 4, 3, 0, 0, 1], [0, 0, 0, 1, 3, 4, 2], [0, 4, 0, 4, 1, 3], [3, 2, 2, 1], [1, 2, 4], [1, 2, 2], [4, 1]]))",5,13,Linear algebra,2092297320,138.190,false
"FunctionField(Polynomial([FunctionField(GF(5)) | [4, 4, 2, 4, 0, 3, 1, 1, 3, 4, 3, 2, 2, 4], [0, 3, 3, 0, 3, 2, 4, 1, 0, 3, 2, 3], [1, 1, 0, 0, 2, 1, 1, 0, 3, 2, 1, 1], [0, 1, 0, 3, 3, 1, 1, 1, 3, 1, 3], [0, 0, 3, 2, 2, 4, 4, 1, 4, 3], [2, 3, 1, 0, 2, 2, 3, 0, 3], [2, 1, 3, 3, 1, 2, 1, 1], [1, 3, 2, 3, 4, 2, 2], [0, 4, 2, 1, 3, 4], [3, 4, 3], [0, 4], [0, 3, 1], [4, 2], [1]]))",5,13,Linear algebra,4174252359,149.760,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [9, 11, 4, 8, 8, 12, 3, 11, 0, 12], [8, 1, 7, 10, 2, 12, 4, 7, 1], [10, 9, 10, 4, 9, 9, 6, 10], [0, 3, 6, 4, 0, 11, 11], [10, 12, 3, 5, 1, 3], [10, 9, 11, 10, 10], [8, 9, 4, 11], [10, 9, 9], [5, 2], [1]]))",13,10,Linear algebra,176649719389,73.350,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [4, 2, 10, 6, 5, 10, 6, 6, 7, 3], [12, 0, 5, 4, 1, 10, 5, 9], [5, 5, 2, 0, 4, 0, 10, 8], [1, 1, 12, 3, 7, 6, 11], [3, 12, 2, 0, 12, 6], [7, 5, 1, 10, 4], [2, 0, 11, 6], [11, 4, 2], [1], [1]]))",13,10,Linear algebra,107824268876,79.650,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [1, 3, 10, 6, 2, 9, 1, 6, 10, 1], [10, 5, 0, 4, 7, 12, 10, 0, 11], [12, 7, 10, 11, 2, 12, 6, 11], [2, 12, 12, 11, 3, 0, 2], [9, 2, 8, 10, 3, 10], [1, 9, 7, 5], [10, 0, 12, 8], [6, 10, 11], [11, 1]]))",13,10,Linear algebra,210625601795,78.080,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [6, 6, 10, 2, 12, 10, 3, 8, 7, 10], [5, 1, 12, 10, 10, 5, 4, 5, 6], [9, 1, 11, 8, 8, 5, 4, 6], [9, 1, 5, 3, 9, 12, 7], [10, 12, 11, 7, 11, 8], [5, 9, 8, 5, 2], [9, 4, 0, 3], [2, 11, 10], [11, 4], [1]]))",13,10,Linear algebra,130698039288,94.080,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [4, 4, 2, 1, 2, 0, 0, 3, 1, 4], [3, 0, 0, 3, 2, 2, 2, 1], [3, 4, 1, 2, 2, 2, 2], [1, 0, 2, 0, 0, 3, 4], [0, 3, 4, 1, 4, 2], [1, 2, 0, 0, 1], [4, 2, 1], [4, 4], [2, 1]]))",5,10,Magma,5788524,300.930,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [0, 9, 7, 12, 3, 6, 8, 10, 8, 11], [4, 3, 9, 2, 7, 4, 2, 2, 12], [2, 12, 11, 10, 2, 4, 3, 1], [9, 8, 9, 9, 7, 6, 2], [7, 4, 0, 2, 1, 4], [6, 9, 9, 9, 7], [7, 9, 0, 8], [7, 8, 11], [6, 12], [1]]))",13,10,Linear algebra,340789643253,63.750,false
"FunctionField(Polynomial([FunctionField(GF(5)) | [4, 0, 4, 1, 1, 0, 2, 1, 2, 1, 2, 2, 3, 4], [3, 4, 2, 1, 3, 2, 0, 0, 4, 0, 1, 3, 1], [1, 0, 0, 4, 4, 0, 4, 3, 2, 0, 2, 3], [1, 0, 4, 3, 1, 3, 2, 2, 1, 3, 2], [3, 4, 1, 2, 1, 3, 2, 4, 1, 3], [1, 1, 1, 1, 1, 4, 0, 3, 3], [3, 3, 3, 1, 1, 4, 0, 3], [3, 0, 1, 3, 1, 3, 2], [3, 1, 0, 0, 0, 1], [0, 0, 3, 3, 1], [2, 0, 1, 3], [3, 3, 1], [4, 1]]))",5,13,Linear algebra,1311092019,480.830,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [1, 3, 10, 6, 2, 9, 1, 6, 10, 1], [10, 5, 0, 4, 7, 12, 10, 0, 11], [12, 7, 10, 11, 2, 12, 6, 11], [2, 12, 12, 11, 3, 0, 2], [9, 2, 8, 10, 3, 10], [1, 9, 7, 5], [10, 0, 12, 8], [6, 10, 11], [11, 1]]))",13,10,Magma,210625601795,2518.320,false
"FunctionField(Polynomial([FunctionField(GF(5)) | [2, 2, 2, 4, 0, 3, 0, 2, 3, 0, 4, 0, 0, 3], [3, 0, 1, 1, 4, 4, 1, 2, 1, 4, 0, 0, 4], [2, 0, 1, 2, 0, 1, 3, 1, 2, 3, 3, 1], [2, 0, 0, 2, 1, 3, 1, 3, 2, 0, 2], [4, 2, 2, 3, 0, 1, 2, 4, 1, 1], [2, 0, 3, 3, 2, 1, 3, 4], [0, 1, 0, 4, 2, 3, 3, 2], [3, 0, 2, 3, 0, 3, 4], [2, 1, 0, 0, 3, 3], [4, 0, 3], [0, 0, 1, 4], [4, 4, 4], [1]]))",5,13,Magma,,3600.090,true
"FunctionField(Polynomial([FunctionField(GF(5)) | [1, 2, 0, 3, 1, 0, 1, 3, 4, 4, 0, 3, 2, 4], [1, 0, 3, 0, 0, 4, 3, 4, 3, 4], [0, 0, 0, 3, 0, 1, 4, 2, 1, 0, 0, 4], [3, 1, 3, 0, 0, 4, 3, 4, 3, 4, 2], [1, 4, 1, 3, 0, 3, 1, 4, 3], [4, 3, 2, 3, 4, 3, 0, 4, 3], [1, 0, 0, 4, 0, 1, 1, 1], [2, 2, 3, 2, 1, 0, 3], [0, 0, 0, 4, 1, 3], [4, 1, 1, 3], [3, 1, 4, 1], [2, 2, 3], [1]]))",5,13,Magma,,3600.070,true
"FunctionField(Polynomial([FunctionField(GF(5)) | [2, 1, 2, 1, 0, 2, 4, 4, 3, 3, 3, 3, 1, 2], [2, 4, 2, 2, 0, 1, 1, 3, 3, 4, 0, 4], [3, 2, 3, 1, 4, 4, 3, 1, 4, 4, 3, 2], [0, 2, 2, 4, 2, 1, 3, 4, 1, 0, 4], [1, 2, 3, 0, 4, 1, 2, 0, 1, 3], [3, 1, 4, 4, 2, 1, 2, 1, 1], [2, 0, 0, 4, 3, 0, 0, 1], [0, 0, 0, 1, 3, 4, 2], [0, 4, 0, 4, 1, 3], [3, 2, 2, 1], [1, 2, 4], [1, 2, 2], [4, 1]]))",5,13,Magma,,3600.090,true
"FunctionField(Polynomial([FunctionField(GF(5)) | [4, 4, 2, 4, 0, 3, 1, 1, 3, 4, 3, 2, 2, 4], [0, 3, 3, 0, 3, 2, 4, 1, 0, 3, 2, 3], [1, 1, 0, 0, 2, 1, 1, 0, 3, 2, 1, 1], [0, 1, 0, 3, 3, 1, 1, 1, 3, 1, 3], [0, 0, 3, 2, 2, 4, 4, 1, 4, 3], [2, 3, 1, 0, 2, 2, 3, 0, 3], [2, 1, 3, 3, 1, 2, 1, 1], [1, 3, 2, 3, 4, 2, 2], [0, 4, 2, 1, 3, 4], [3, 4, 3], [0, 4], [0, 3, 1], [4, 2], [1]]))",5,13,Magma,,3600.100,true
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [9, 11, 4, 8, 8, 12, 3, 11, 0, 12], [8, 1, 7, 10, 2, 12, 4, 7, 1], [10, 9, 10, 4, 9, 9, 6, 10], [0, 3, 6, 4, 0, 11, 11], [10, 12, 3, 5, 1, 3], [10, 9, 11, 10, 10], [8, 9, 4, 11], [10, 9, 9], [5, 2], [1]]))",13,10,Magma,,3600.110,true
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [25, 14, 0, 9], [8, 21, 10], [22, 8], [1]]))",31,1,Linear algebra,30,0.210,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [25, 14, 0, 9], [8, 21, 10], [22, 8], [1]]))",31,1,Magma,30,0.160,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [2, 3, 4, 25], [11, 8, 11], [29, 21], [1]]))",31,1,Linear algebra,41,0.150,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [2, 3, 4, 25], [11, 8, 11], [29, 21], [1]]))",31,1,Magma,41,0.200,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [29, 1, 18, 8], [28, 13, 22], [16, 30], [1]]))",31,1,Linear algebra,42,0.180,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [29, 1, 18, 8], [28, 13, 22], [16, 30], [1]]))",31,1,Magma,42,0.220,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [7, 29, 3, 7], [23, 2, 7], [18, 30], [1]]))",31,1,Linear algebra,28,0.200,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [7, 29, 3, 7], [23, 2, 7], [18, 30], [1]]))",31,1,Magma,28,0.170,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [25, 5, 28, 29], [13, 0, 16], [9, 3], [1]]))",31,1,Linear algebra,28,0.130,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [25, 5, 28, 29], [13, 0, 16], [9, 3], [1]]))",31,1,Magma,28,0.140,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [26, 4, 25, 6, 24, 24], [13, 8, 23, 9, 3], [19, 7, 30, 3], [24, 18, 5], [24, 7], [1]]))",31,4,Linear algebra,879989,4.100,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [4, 2, 10, 6, 5, 10, 6, 6, 7, 3], [12, 0, 5, 4, 1, 10, 5, 9], [5, 5, 2, 0, 4, 0, 10, 8], [1, 1, 12, 3, 7, 6, 11], [3, 12, 2, 0, 12, 6], [7, 5, 1, 10, 4], [2, 0, 11, 6], [11, 4, 2], [1], [1]]))",13,10,Magma,,3600.110,true
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [26, 4, 25, 6, 24, 24], [13, 8, 23, 9, 3], [19, 7, 30, 3], [24, 18, 5], [24, 7], [1]]))",31,4,Magma,879989,9.420,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [11, 17, 13, 9, 25, 5], [27, 28, 28, 27, 25], [24, 29, 28, 7], [26, 28, 12], [16, 25], [1]]))",31,4,Linear algebra,840371,4.580,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [7, 20, 30, 2, 1, 18], [9, 15, 7, 16, 22], [22, 23, 2, 28], [5, 22, 20], [23, 30], [1]]))",31,4,Linear algebra,908178,4.580,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [11, 17, 13, 9, 25, 5], [27, 28, 28, 27, 25], [24, 29, 28, 7], [26, 28, 12], [16, 25], [1]]))",31,4,Magma,840371,9.830,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [7, 20, 30, 2, 1, 18], [9, 15, 7, 16, 22], [22, 23, 2, 28], [5, 22, 20], [23, 30], [1]]))",31,4,Magma,908178,10.120,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [1, 23, 0, 9, 15, 11], [21, 23, 29, 4, 10], [13, 3, 26, 4], [3, 20, 8], [7, 8], [1]]))",31,4,Linear algebra,1010750,1.120,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [1, 14, 17, 2, 24, 24], [17, 17, 21, 16, 6], [1, 21, 1, 8], [1, 12, 28], [6, 24], [1]]))",31,4,Linear algebra,938467,5.370,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [1, 23, 0, 9, 15, 11], [21, 23, 29, 4, 10], [13, 3, 26, 4], [3, 20, 8], [7, 8], [1]]))",31,4,Magma,1010750,9.910,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [1, 14, 17, 2, 24, 24], [17, 17, 21, 16, 6], [1, 21, 1, 8], [1, 12, 28], [6, 24], [1]]))",31,4,Magma,938467,10.540,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [0, 27, 20, 0, 15, 16, 5, 12], [9, 13, 19, 18, 29, 2, 18], [16, 14, 29, 24, 8, 10], [10, 7, 10, 17, 11], [15, 2, 9], [17, 5, 18], [17, 26], [1]]))",31,7,Linear algebra,36061117867,24.250,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [6, 6, 10, 2, 12, 10, 3, 8, 7, 10], [5, 1, 12, 10, 10, 5, 4, 5, 6], [9, 1, 11, 8, 8, 5, 4, 6], [9, 1, 5, 3, 9, 12, 7], [10, 12, 11, 7, 11, 8], [5, 9, 8, 5, 2], [9, 4, 0, 3], [2, 11, 10], [11, 4], [1]]))",13,10,Magma,,3600.110,true
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [8, 17, 9, 19, 24, 2, 2, 6], [5, 23, 25, 18, 15, 1, 20], [3, 20, 1, 4, 24, 30], [2, 27, 14, 1, 22], [24, 16, 30, 27], [25, 3, 8], [10, 24], [1]]))",31,7,Linear algebra,23763150827,29.780,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [29, 30, 15, 15, 16, 5, 23, 21], [23, 5, 5, 9, 20, 13, 13], [30, 19, 15, 4, 13, 19], [10, 6, 24, 17, 12], [7, 10, 27, 7], [13, 8, 9], [29, 8], [1]]))",31,7,Linear algebra,28171984804,26.100,false
"FunctionField(Polynomial([PolynomialRing(GF(13)) | [0, 9, 7, 12, 3, 6, 8, 10, 8, 11], [4, 3, 9, 2, 7, 4, 2, 2, 12], [2, 12, 11, 10, 2, 4, 3, 1], [9, 8, 9, 9, 7, 6, 2], [7, 4, 0, 2, 1, 4], [6, 9, 9, 9, 7], [7, 9, 0, 8], [7, 8, 11], [6, 12], [1]]))",13,10,Magma,,3600.130,true
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [8, 5, 30, 20, 12, 28, 4, 27], [4, 11, 2, 28, 26, 5, 7], [7, 12, 24, 13, 19, 21], [11, 22, 12, 1, 9], [11, 3, 19, 21], [25, 1, 14], [8, 21], [1]]))",31,7,Linear algebra,30179344158,24.570,false
"FunctionField(Polynomial([FunctionField(GF(5)) | [4, 0, 4, 1, 1, 0, 2, 1, 2, 1, 2, 2, 3, 4], [3, 4, 2, 1, 3, 2, 0, 0, 4, 0, 1, 3, 1], [1, 0, 0, 4, 4, 0, 4, 3, 2, 0, 2, 3], [1, 0, 4, 3, 1, 3, 2, 2, 1, 3, 2], [3, 4, 1, 2, 1, 3, 2, 4, 1, 3], [1, 1, 1, 1, 1, 4, 0, 3, 3], [3, 3, 3, 1, 1, 4, 0, 3], [3, 0, 1, 3, 1, 3, 2], [3, 1, 0, 0, 0, 1], [0, 0, 3, 3, 1], [2, 0, 1, 3], [3, 3, 1], [4, 1]]))",5,13,Magma,,3600.070,true
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [19, 22, 16, 10, 26, 26, 22, 10], [21, 27, 25, 29, 16, 23, 15], [7, 19, 17, 8, 25, 24], [4, 5, 14, 12, 5], [0, 15, 18], [8, 18, 26], [18, 25], [1]]))",31,7,Linear algebra,24875408321,26.840,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [8, 17, 9, 19, 24, 2, 2, 6], [5, 23, 25, 18, 15, 1, 20], [3, 20, 1, 4, 24, 30], [2, 27, 14, 1, 22], [24, 16, 30, 27], [25, 3, 8], [10, 24], [1]]))",31,7,Magma,23763150827,1625.320,false
"FunctionField(Polynomial([FunctionField(GF(13)) | [10, 2, 3, 10, 2, 10, 9, 5, 1, 12, 2, 1, 8, 9], [9, 9, 11, 6, 10, 9, 9, 6, 10, 4, 7, 0, 8], [0, 7, 3, 4, 3, 4, 1, 12, 10, 4, 9, 4], [10, 3, 6, 3, 1, 7, 2, 2, 1, 0, 5], [5, 1, 7, 5, 12, 1, 11, 0, 8, 8], [8, 12, 4, 5, 12, 6, 7, 2], [4, 10, 5, 9, 5, 5, 1, 11], [2, 1, 7, 9, 4, 8, 6], [12, 7, 2, 4, 2, 11], [2, 11, 1, 11, 6], [8, 10, 6, 9], [1, 8, 12], [9, 8], [1]]))",13,13,Linear algebra,473012800235586,2899.640,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [0, 27, 20, 0, 15, 16, 5, 12], [9, 13, 19, 18, 29, 2, 18], [16, 14, 29, 24, 8, 10], [10, 7, 10, 17, 11], [15, 2, 9], [17, 5, 18], [17, 26], [1]]))",31,7,Magma,36061117867,1822.510,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [29, 30, 15, 15, 16, 5, 23, 21], [23, 5, 5, 9, 20, 13, 13], [30, 19, 15, 4, 13, 19], [10, 6, 24, 17, 12], [7, 10, 27, 7], [13, 8, 9], [29, 8], [1]]))",31,7,Magma,28171984804,2166.900,false
"FunctionField(Polynomial([FunctionField(GF(13)) | [12, 9, 6, 0, 10, 0, 2, 12, 2, 1, 2, 7, 0, 11], [9, 0, 7, 4, 10, 12, 10, 5, 0, 8, 5, 6, 1], [11, 5, 2, 3, 5, 8, 11, 6, 9, 6, 8, 7], [8, 4, 4, 2, 5, 1, 7, 9, 4, 7, 11], [8, 1, 10, 7, 10, 11, 4, 6, 11, 8], [6, 12, 12, 7, 9, 7, 3, 7, 3], [10, 4, 10, 5, 4, 8, 9, 4], [6, 4, 6, 2, 2, 7, 5], [10, 1, 10, 6, 11, 2], [9, 11, 11, 11, 9], [0, 0, 7, 3], [3, 2, 12], [5, 11], [1]]))",13,13,Linear algebra,566441363635226,2506.310,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [8, 5, 30, 20, 12, 28, 4, 27], [4, 11, 2, 28, 26, 5, 7], [7, 12, 24, 13, 19, 21], [11, 22, 12, 1, 9], [11, 3, 19, 21], [25, 1, 14], [8, 21], [1]]))",31,7,Magma,30179344158,2265.760,false
"FunctionField(Polynomial([FunctionField(GF(13)) | [11, 1, 6, 10, 7, 7, 9, 7, 6, 8, 8, 1, 9, 3], [6, 12, 1, 12, 3, 7, 6, 11, 5, 11, 7, 5, 6], [10, 2, 8, 6, 9, 10, 6, 9, 8, 3, 3, 12], [1, 11, 7, 6, 12, 6, 5, 5, 11, 11, 3], [4, 12, 12, 2, 10, 9, 10, 7, 8, 4], [11, 8, 0, 3, 9, 7, 10, 8, 8], [6, 2, 1, 9, 10, 0, 10, 10], [7, 8, 11, 4, 2, 1, 11], [6, 0, 8, 3, 3, 12], [11, 7, 2, 12, 9], [12, 10, 0, 7], [0, 11, 3], [4, 4], [1]]))",13,13,Linear algebra,517817256181195,2511.340,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [8, 0, 5, 23, 14, 10, 6, 17, 28, 19], [30, 10, 7, 11, 21, 20, 19, 26, 5], [25, 30, 4, 13, 18, 12, 3, 8], [18, 12, 5, 19, 10, 3, 28], [8, 14, 30, 28, 16, 9], [30, 27, 4, 29, 16], [11, 10, 2, 7], [8, 7, 10], [9, 29], [1]]))",31,10,Linear algebra,793272767007283,858.220,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [12, 0, 4, 30, 4, 19, 2, 8, 29, 24], [16, 26, 24, 11, 9, 16, 18, 24, 3], [9, 23, 22, 6, 22, 3, 2, 23], [27, 12, 23, 17, 1, 2, 17], [7, 24, 7, 0, 6, 14], [10, 12, 25, 3, 10], [25, 13, 11, 30], [12, 26, 13], [29, 19], [1]]))",31,10,Linear algebra,881951904985784,687.010,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [5, 10, 22, 21, 18, 6, 20, 6, 6, 26], [29, 12, 18, 13, 16, 19, 16, 4, 20], [13, 2, 10, 15, 3, 18, 8, 6], [19, 17, 16, 13, 4, 11, 16], [28, 8, 23, 6, 24, 7], [20, 3, 10, 21, 5], [0, 0, 17, 25], [5, 25, 23], [25, 5], [1]]))",31,10,Linear algebra,881958198524664,534.640,false
"FunctionField(Polynomial([PolynomialRing(GF(31)) | [19, 22, 16, 10, 26, 26, 22, 10], [21, 27, 25, 29, 16, 23, 15], [7, 19, 17, 8, 25, 24], [4, 5, 14, 12, 5], [0, 15, 18], [8, 18, 26], [18, 25], [1]]))",31,7,Magma,24875408321,2656.880,false
