Level,Finite field,Genus,Method,Class number,Time,Timeout
"27",31,1,Linear algebra,36,0.050,false
"27",7,1,Magma,9,0.060,false
"27",31,1,Magma,36,0.090,false
"26",97,2,Magma,9072,0.520,false
"27",17,1,Linear algebra,18,0.250,false
"27",97,1,Linear algebra,117,0.180,false
"28",3,2,Linear algebra,36,0.170,false
"27",17,1,Magma,18,0.060,false
"28",3,2,Magma,36,0.090,false
"27",59,1,Linear algebra,60,0.200,false
"28",59,2,Linear algebra,4356,0.140,false
"28",31,2,Linear algebra,1296,0.180,false
"27",59,1,Magma,60,0.220,false
"29",2,2,Linear algebra,14,0.140,false
"28",17,2,Linear algebra,144,0.270,false
"29",3,2,Linear algebra,7,0.170,false
"29",2,2,Magma,14,0.090,false
"29",3,2,Magma,7,0.070,false
"28",31,2,Magma,1296,0.220,false
"29",17,2,Linear algebra,392,0.080,false
"29",7,2,Linear algebra,56,0.150,false
"28",97,2,Linear algebra,11664,0.300,false
"27",97,1,Magma,117,0.620,false
"28",59,2,Magma,4356,0.340,false
"29",7,2,Magma,56,0.140,false
"29",17,2,Magma,392,0.140,false
"29",59,2,Linear algebra,3332,0.120,false
"29",31,2,Linear algebra,791,0.230,false
"28",17,2,Magma,144,0.540,false
"30",7,3,Linear algebra,768,0.140,false
"29",31,2,Magma,791,0.180,false
"29",97,2,Linear algebra,10332,0.300,false
"28",97,2,Magma,11664,0.630,false
"29",59,2,Magma,3332,0.320,false
"30",7,3,Magma,768,0.160,false
"30",59,3,Linear algebra,245760,0.190,false
"30",17,3,Linear algebra,3072,0.370,false
"31",2,2,Linear algebra,5,0.140,false
"31",2,2,Magma,5,0.050,false
"30",97,3,Linear algebra,884736,0.390,false
"30",31,3,Linear algebra,24576,0.510,false
"31",3,2,Linear algebra,20,0.200,false
"31",3,2,Magma,20,0.070,false
"31",59,2,Linear algebra,3595,0.160,false
"31",7,2,Linear algebra,95,0.250,false
"30",59,3,Magma,245760,0.550,false
"29",97,2,Magma,10332,0.720,false
"31",7,2,Magma,95,0.080,false
"31",17,2,Linear algebra,220,0.350,false
"30",31,3,Magma,24576,0.350,false
"31",59,2,Magma,3595,0.310,false
"30",17,3,Magma,3072,0.650,false
"31",97,2,Linear algebra,10945,0.300,false
"31",17,2,Magma,220,0.150,false
"30",97,3,Magma,884736,0.830,false
"33",2,3,Linear algebra,50,0.130,false
"32",3,1,Linear algebra,4,0.100,false
"33",7,3,Linear algebra,400,0.180,false
"32",3,1,Magma,4,0.040,false
"33",2,3,Magma,50,0.090,false
"32",7,1,Linear algebra,8,0.160,false
"31",97,2,Magma,10945,0.720,false
"32",31,1,Linear algebra,32,0.130,false
"33",7,3,Magma,400,0.220,false
"32",7,1,Magma,8,0.060,false
"32",59,1,Linear algebra,60,0.120,false
"32",17,1,Linear algebra,16,0.230,false
"32",31,1,Magma,32,0.100,false
"32",17,1,Magma,16,0.070,false
"33",17,3,Linear algebra,8000,0.170,false
"32",97,1,Linear algebra,80,0.180,false
"32",59,1,Magma,60,0.200,false
"33",17,3,Magma,8000,0.220,false
"32",97,1,Magma,80,0.180,false
"33",59,3,Linear algebra,193600,0.230,false
"34",3,3,Linear algebra,96,0.110,false
"33",31,3,Linear algebra,25000,0.310,false
"34",3,3,Magma,96,0.090,false
"34",7,3,Linear algebra,192,0.130,false
"34",7,3,Magma,192,0.140,false
"33",97,3,Linear algebra,1058400,0.400,false
"33",31,3,Magma,25000,0.280,false
"34",31,3,Linear algebra,28224,0.240,false
"35",2,3,Linear algebra,24,0.150,false
"35",3,3,Linear algebra,48,0.150,false
"35",2,3,Magma,24,0.060,false
"35",3,3,Magma,48,0.120,false
"34",59,3,Linear algebra,311040,0.470,false
"33",59,3,Magma,193600,0.560,false
"34",97,3,Linear algebra,774144,0.610,false
"35",31,3,Linear algebra,36864,0.180,false
"35",59,3,Linear algebra,245760,0.230,false
"33",97,3,Magma,1058400,0.810,false
"35",31,3,Magma,36864,0.280,false
"35",17,3,Linear algebra,6240,0.690,false
"35",97,3,Linear algebra,1029600,0.390,false
"35",17,3,Magma,6240,0.190,false
"34",31,3,Magma,28224,1.120,false
"35",59,3,Magma,245760,0.650,false
"37",2,2,Linear algebra,15,0.090,false
"37",2,2,Magma,15,0.090,false
"35",97,3,Magma,1029600,0.820,false
"37",3,2,Linear algebra,21,0.170,false
"37",3,2,Magma,21,0.100,false
"34",59,3,Magma,311040,1.760,false
"37",7,2,Linear algebra,81,0.270,false
"37",17,2,Linear algebra,216,0.280,false
"37",7,2,Magma,81,0.100,false
"37",17,2,Magma,216,0.120,false
"37",31,2,Linear algebra,1296,0.270,false
"37",59,2,Linear algebra,2496,0.150,false
"36",7,1,Linear algebra,12,0.080,false
"34",97,3,Magma,774144,2.210,false
"36",7,1,Magma,12,0.060,false
"37",31,2,Magma,1296,0.220,false
"37",59,2,Magma,2496,0.230,false
"36",17,1,Linear algebra,18,0.220,false
"37",97,2,Linear algebra,8460,0.260,false
"36",17,1,Magma,18,0.060,false
"38",3,4,Linear algebra,540,0.210,false
"38",3,4,Magma,540,0.130,false
"36",31,1,Linear algebra,36,0.110,false
"36",31,1,Magma,36,0.120,false
"36",59,1,Linear algebra,60,0.130,false
"36",97,1,Linear algebra,84,0.090,false
"37",97,2,Magma,8460,0.490,false
"38",7,4,Linear algebra,3645,0.320,false
"36",59,1,Magma,60,0.200,false
"36",97,1,Magma,84,0.200,false
"38",31,4,Linear algebra,1866240,0.540,false
"39",2,3,Linear algebra,28,0.140,false
"38",7,4,Magma,3645,0.370,false
"39",7,3,Linear algebra,672,0.180,false
"39",2,3,Magma,28,0.120,false
"39",7,3,Magma,672,0.120,false
"38",17,4,Linear algebra,99225,0.990,false
"39",17,3,Linear algebra,3584,0.330,false
"39",31,3,Linear algebra,36064,0.190,false
"39",59,3,Linear algebra,159936,0.300,false
"39",31,3,Magma,36064,0.270,false
"40",3,3,Linear algebra,144,0.190,false
"39",97,3,Linear algebra,877184,0.380,false
"38",31,4,Magma,1866240,0.930,false
"40",3,3,Magma,144,0.110,false
"40",7,3,Linear algebra,432,0.180,false
"39",17,3,Magma,3584,0.590,false
"40",7,3,Magma,432,0.160,false
"40",17,3,Linear algebra,9216,0.110,false
"39",59,3,Magma,159936,0.710,false
"38",59,4,Linear algebra,9997020,2.060,false
"40",17,3,Magma,9216,0.250,false
"40",31,3,Linear algebra,51840,0.170,false
"41",2,3,Linear algebra,20,0.120,false
"41",2,3,Magma,20,0.070,false
"40",59,3,Linear algebra,147456,0.260,false
"39",97,3,Magma,877184,0.750,false
"41",3,3,Linear algebra,50,0.150,false
"40",97,3,Linear algebra,1032192,0.350,false
"40",31,3,Magma,51840,0.330,false
"41",3,3,Magma,50,0.090,false
"38",97,4,Linear algebra,87480000,2.310,false
"41",17,3,Linear algebra,8000,0.190,false
"38",17,4,Magma,99225,1.940,false
"41",17,3,Magma,8000,0.240,false
"40",59,3,Magma,147456,0.770,false
"41",59,3,Linear algebra,243680,0.230,false
"40",97,3,Magma,1032192,0.750,false
"41",97,3,Linear algebra,878720,0.350,false
"41",59,3,Magma,243680,0.540,false
"41",97,3,Magma,878720,0.760,false
"41",31,3,Linear algebra,18400,1.410,false
"43",7,3,Linear algebra,784,0.140,false
"43",3,3,Linear algebra,84,0.230,false
"43",3,3,Magma,84,0.080,false
"43",7,3,Magma,784,0.160,false
"42",17,5,Linear algebra,1327104,1.100,false
"43",31,3,Linear algebra,40425,0.190,false
"43",17,3,Linear algebra,3381,0.420,false
"43",31,3,Magma,40425,0.800,false
"43",59,3,Linear algebra,276192,0.410,false
"43",17,3,Magma,3381,1.460,false
"41",31,3,Magma,18400,3.130,false
"43",97,3,Linear algebra,891163,0.600,false
"44",3,4,Linear algebra,375,0.160,false
"44",3,4,Magma,375,0.140,false
"42",97,5,Linear algebra,8360755200,4.510,false
"42",31,5,Linear algebra,42467328,5.120,false
"44",7,4,Linear algebra,6000,0.320,false
"43",59,3,Magma,276192,2.050,false
"38",97,4,Magma,87480000,6.190,false
"44",7,4,Magma,6000,0.390,false
"42",17,5,Magma,1327104,4.640,false
"44",17,4,Linear algebra,96000,1.120,false
"44",97,4,Linear algebra,121550625,1.860,false
"44",31,4,Linear algebra,421875,3.320,false
"44",17,4,Magma,96000,2.670,false
"43",97,3,Magma,891163,5.360,false
"45",2,3,Linear algebra,32,0.090,false
"45",2,3,Magma,32,0.060,false
"45",7,3,Linear algebra,512,0.190,false
"45",7,3,Magma,512,0.220,false
"45",17,3,Linear algebra,5120,0.560,false
"45",31,3,Linear algebra,32768,0.190,false
"45",31,3,Magma,32768,0.890,false
"45",17,3,Magma,5120,1.540,false
"45",59,3,Linear algebra,229376,0.370,false
"45",97,3,Linear algebra,884736,0.730,false
"44",31,4,Magma,421875,4.820,false
"45",59,3,Magma,229376,1.310,false
"46",3,5,Linear algebra,484,0.220,false
"46",7,5,Linear algebra,23232,0.230,false
"46",3,5,Magma,484,0.180,false
"46",7,5,Magma,23232,0.350,false
"46",17,5,Linear algebra,968000,0.720,false
"44",97,4,Magma,121550625,8.340,false
"45",97,3,Magma,884736,4.060,false
"46",31,5,Linear algebra,30670112,2.420,false
"42",31,5,Magma,42467328,12.680,false
"46",17,5,Magma,968000,2.160,false
"47",2,4,Linear algebra,23,0.100,false
"47",2,4,Magma,23,0.130,false
"47",3,4,Linear algebra,161,0.180,false
"47",3,4,Magma,161,0.140,false
"42",59,5,Linear algebra,562028544,18.900,false
"47",7,4,Linear algebra,1909,0.230,false
"47",7,4,Magma,1909,0.250,false
"47",17,4,Linear algebra,64653,0.430,false
"47",31,4,Linear algebra,1308976,0.630,false
"47",31,4,Magma,1308976,0.510,false
"47",17,4,Magma,64653,1.500,false
"47",59,4,Linear algebra,11723721,1.360,false
"47",59,4,Magma,11723721,1.420,false
"48",7,3,Linear algebra,512,0.240,false
"48",7,3,Magma,512,0.290,false
"47",97,4,Linear algebra,65865997,4.150,false
"48",17,3,Linear algebra,4096,0.450,false
"46",31,5,Magma,30670112,8.670,false
"48",17,3,Magma,4096,0.690,false
"44",59,4,Linear algebra,9483375,20.990,false
"48",59,3,Linear algebra,200704,0.180,false
"48",59,3,Magma,200704,0.580,false
"46",59,5,Linear algebra,536752128,11.420,false
"48",97,3,Linear algebra,884736,0.360,false
"48",97,3,Magma,884736,0.920,false
"47",97,4,Magma,65865997,5.050,false
"49",2,1,Linear algebra,2,0.120,false
"49",2,1,Magma,2,0.060,false
"49",3,1,Linear algebra,4,0.100,false
"49",3,1,Magma,4,0.040,false
"49",17,1,Linear algebra,18,0.240,false
"49",17,1,Magma,18,0.070,false
"49",31,1,Linear algebra,32,0.120,false
"49",31,1,Magma,32,0.120,false
"49",59,1,Linear algebra,60,0.080,false
"49",59,1,Magma,60,0.230,false
"50",3,2,Linear algebra,15,0.150,false
"50",3,2,Magma,15,0.110,false
"49",97,1,Linear algebra,98,0.210,false
"50",7,2,Linear algebra,60,0.230,false
"49",97,1,Magma,98,0.420,false
"50",7,2,Magma,60,0.120,false
"50",17,2,Linear algebra,315,0.310,false
"50",31,2,Linear algebra,900,0.280,false
"50",17,2,Magma,315,0.160,false
"50",31,2,Magma,900,0.240,false
"50",59,2,Linear algebra,3600,0.200,false
"50",97,2,Linear algebra,9600,0.220,false
"50",59,2,Magma,3600,0.480,false
"50",97,2,Magma,9600,0.660,false
"51",2,5,Linear algebra,384,0.260,false
"51",2,5,Magma,384,0.140,false
"51",7,5,Linear algebra,12288,0.630,false
"51",7,5,Magma,12288,0.560,false
"51",59,5,Linear algebra,904753152,1.270,false
"51",31,5,Linear algebra,25213440,4.830,false
"51",31,5,Magma,25213440,20.340,false
"44",59,4,Magma,9483375,38.100,false
"52",3,5,Linear algebra,1764,0.290,false
"52",3,5,Magma,1764,0.280,false
"52",7,5,Linear algebra,39690,0.480,false
"51",97,5,Linear algebra,11565268992,2.980,false
"52",7,5,Magma,39690,0.520,false
"52",17,5,Linear algebra,2333772,1.290,false
"52",17,5,Magma,2333772,3.450,false
"52",31,5,Linear algebra,22353408,5.300,false
"38",59,4,Magma,9997020,79.840,false
"46",97,5,Linear algebra,5208172992,61.860,false
"52",59,5,Linear algebra,1494108000,1.760,false
"52",59,5,Magma,1494108000,9.000,false
"52",31,5,Magma,22353408,16.120,false
"53",2,4,Linear algebra,104,0.130,false
"46",59,5,Magma,536752128,66.780,false
"53",2,4,Magma,104,0.090,false
"53",3,4,Linear algebra,91,0.220,false
"53",7,4,Linear algebra,3120,0.260,false
"53",3,4,Magma,91,0.220,false
"53",7,4,Magma,3120,0.260,false
"53",17,4,Linear algebra,154245,0.330,false
"53",17,4,Magma,154245,1.730,false
"51",97,5,Magma,11565268992,32.950,false
"53",31,4,Linear algebra,910000,3.750,false
"53",59,4,Linear algebra,12734800,1.590,false
"52",97,5,Linear algebra,7900913664,10.580,false
"53",97,4,Linear algebra,90949625,2.190,false
"53",31,4,Magma,910000,8.990,false
"54",7,4,Linear algebra,6561,0.200,false
"54",7,4,Magma,6561,0.270,false
"54",17,4,Linear algebra,104976,0.880,false
"54",17,4,Magma,104976,2.060,false
"54",31,4,Linear algebra,944784,2.930,false
"54",31,4,Magma,944784,7.840,false
"53",59,4,Magma,12734800,24.990,false
"54",59,4,Linear algebra,12441600,1.120,false
"54",97,4,Linear algebra,134165889,1.230,false
"54",97,4,Magma,134165889,2.210,false
"55",2,5,Linear algebra,100,0.130,false
"55",2,5,Magma,100,0.140,false
"55",3,5,Linear algebra,800,0.230,false
"55",3,5,Magma,800,0.360,false
"55",7,5,Linear algebra,80000,0.460,false
"55",7,5,Magma,80000,0.690,false
"54",59,4,Magma,12441600,8.120,false
"55",17,5,Linear algebra,902400,1.710,false
"55",17,5,Magma,902400,2.770,false
"55",31,5,Linear algebra,25600000,4.660,false
"51",59,5,Magma,904753152,100.040,false
"55",97,5,Linear algebra,9670953600,3.800,false
"55",31,5,Magma,25600000,14.050,false
"53",97,4,Magma,90949625,51.560,false
"56",3,5,Linear algebra,1728,0.310,false
"56",3,5,Magma,1728,0.290,false
"56",17,5,Linear algebra,829440,1.210,false
"55",59,5,Linear algebra,688441600,20.050,false
"56",17,5,Magma,829440,3.370,false
"56",31,5,Linear algebra,31352832,4.160,false
"56",59,5,Linear algebra,931487040,2.130,false
"56",31,5,Magma,31352832,12.640,false
"56",97,5,Linear algebra,13101004800,3.210,false
"42",59,5,Magma,562028544,159.880,false
"57",2,5,Linear algebra,450,0.250,false
"57",2,5,Magma,450,0.160,false
"57",7,5,Linear algebra,42120,0.440,false
"57",7,5,Magma,42120,0.600,false
"57",17,5,Linear algebra,3016440,1.380,false
"57",17,5,Magma,3016440,4.090,false
"57",31,5,Linear algebra,35458560,5.820,false
"57",31,5,Magma,35458560,23.380,false
"56",97,5,Magma,13101004800,44.000,false
"57",59,5,Linear algebra,1279618560,2.570,false
"57",59,5,Magma,1279618560,13.160,false
"57",97,5,Linear algebra,7698240000,13.590,false
"58",3,6,Linear algebra,1715,2.140,false
"58",3,6,Magma,1715,2.170,false
"58",7,6,Linear algebra,313600,1.140,false
"58",7,6,Magma,313600,5.320,false
"58",17,6,Linear algebra,33806080,4.830,false
"58",17,6,Magma,33806080,12.920,false
"56",59,5,Magma,931487040,118.460,false
"58",31,6,Linear algebra,635066215,17.030,false
"42",97,5,Magma,8360755200,301.990,false
"52",97,5,Magma,7900913664,213.070,false
"59",2,5,Linear algebra,58,0.130,false
"59",2,5,Magma,58,0.110,false
"59",3,5,Linear algebra,899,0.180,false
"59",3,5,Magma,899,0.190,false
"59",7,5,Linear algebra,19169,0.270,false
"59",7,5,Magma,19169,0.350,false
"59",17,5,Linear algebra,1710304,0.650,false
"59",17,5,Magma,1710304,2.220,false
"59",31,5,Linear algebra,29851904,2.190,false
"55",59,5,Magma,688441600,171.510,false
"59",31,5,Magma,29851904,11.460,false
"59",97,5,Linear algebra,11119325696,3.860,false
"60",7,7,Linear algebra,2654208,0.470,false
"60",7,7,Magma,2654208,1.360,false
"59",97,5,Magma,11119325696,4.990,false
"60",17,7,Linear algebra,339738624,2.930,false
"55",97,5,Magma,9670953600,194.710,false
"58",97,6,Linear algebra,1110202329600,38.550,false
"58",59,6,Linear algebra,42632540160,65.450,false
"60",17,7,Magma,339738624,9.620,false
"60",31,7,Linear algebra,24461180928,11.560,false
"60",59,7,Linear algebra,2174327193600,56.490,false
"60",31,7,Magma,24461180928,48.740,false
"61",2,4,Linear algebra,40,0.150,false
"61",2,4,Magma,40,0.110,false
"61",3,4,Linear algebra,120,0.280,false
"61",3,4,Magma,120,0.360,false
"61",7,4,Linear algebra,4865,0.660,false
"61",7,4,Magma,4865,0.450,false
"61",17,4,Linear algebra,88760,1.450,false
"61",17,4,Magma,88760,2.200,false
"61",31,4,Linear algebra,1040000,0.850,false
"61",31,4,Magma,1040000,9.380,false
"61",59,4,Linear algebra,6381885,19.980,false
"58",31,6,Magma,635066215,160.650,false
"61",97,4,Linear algebra,93506560,2.430,false
"61",97,4,Magma,93506560,6.180,false
"62",3,7,Linear algebra,9600,0.630,false
"62",3,7,Magma,9600,1.130,false
"62",7,7,Linear algebra,2599200,0.650,false
"62",7,7,Magma,2599200,0.910,false
"62",17,7,Linear algebra,362419200,2.970,false
"62",17,7,Magma,362419200,12.430,false
"61",59,4,Magma,6381885,86.600,false
"62",59,7,Linear algebra,4042221451200,54.800,false
"60",97,7,Linear algebra,75144747810816,195.090,false
"46",97,5,Magma,5208172992,474.430,false
"63",2,5,Linear algebra,192,0.390,false
"63",2,5,Magma,192,0.240,false
"63",17,5,Linear algebra,2156544,1.210,false
"63",17,5,Magma,2156544,3.480,false
"63",31,5,Linear algebra,42467328,5.680,false
"63",31,5,Magma,42467328,17.510,false
"62",97,7,Linear algebra,104743187683200,63.680,false
"63",59,5,Linear algebra,589234176,23.320,false
"58",59,6,Magma,42632540160,362.450,false
"63",59,5,Magma,589234176,206.930,false
"64",3,3,Linear algebra,64,0.080,false
"64",3,3,Magma,64,0.140,false
"64",7,3,Linear algebra,512,0.170,false
"64",7,3,Magma,512,0.240,false
"64",17,3,Linear algebra,4096,0.520,false
"64",17,3,Magma,4096,1.550,false
"64",31,3,Linear algebra,32768,0.270,false
"64",31,3,Magma,32768,0.770,false
"64",59,3,Linear algebra,216000,0.340,false
"64",59,3,Magma,216000,2.330,false
"64",97,3,Linear algebra,512000,0.760,false
"64",97,3,Magma,512000,13.580,false
"65",2,5,Linear algebra,336,0.440,false
"65",2,5,Magma,336,0.550,false
"65",3,5,Linear algebra,504,0.480,false
"65",3,5,Magma,504,0.390,false
"65",7,5,Linear algebra,12096,0.350,false
"65",7,5,Magma,12096,0.530,false
"65",17,5,Linear algebra,1956864,1.850,false
"65",17,5,Magma,1956864,4.000,false
"65",31,5,Linear algebra,19400472,5.070,false
"62",59,7,Magma,4042221451200,334.650,false
"65",31,5,Magma,19400472,21.280,false
"65",59,5,Linear algebra,598112424,19.850,false
"65",97,5,Linear algebra,9186508800,4.970,false
"65",59,5,Magma,598112424,105.350,false
"66",7,9,Linear algebra,115200000,10.310,false
"66",7,9,Magma,115200000,22.830,false
"66",17,9,Linear algebra,491520000000,4.740,false
"65",97,5,Magma,9186508800,156.630,false
"66",17,9,Magma,491520000000,13.670,false
"63",97,5,Linear algebra,3612672000,345.130,false
"58",97,6,Magma,1110202329600,742.030,false
