FunctionField(Polynomial([PolynomialRing(GF(13)) | [4, 1, 10, 7, 5, 3], [1, 10, 10, 2, 11], [7, 3, 12, 9], [5, 1, 7], [8, 7], [1]]));13;4;3;Linear algebra;2;95;1521;0.090;0.400;0.040;false
FunctionField(Polynomial([PolynomialRing(GF(13)) | [10, 9, 8, 2, 10, 2], [1, 0, 6, 7, 3], [3, 5, 1, 11], [12, 12, 7], [4, 12], [1]]));13;4;3;Linear algebra;2;93;1666;0.130;0.390;0.040;false
FunctionField(Polynomial([PolynomialRing(GF(13)) | [2, 3, 9, 0, 9, 5], [11, 8, 10, 1, 6], [5, 10, 7, 3], [8, 4, 12], [12, 6], [1]]));13;4;3;Hess;2;91;784;0.000;0;1.270;false
FunctionField(Polynomial([PolynomialRing(GF(13)) | [2, 10, 7, 3, 0, 10], [9, 5, 3, 1], [4, 10, 6, 2], [12, 6, 12], [2, 5], [1]]));13;4;3;Hess;2;85;1240;0.000;0;2.180;false
FunctionField(Polynomial([PolynomialRing(GF(13)) | [1, 6, 10, 5, 2, 4], [10, 8, 3, 4, 2], [3, 4, 1, 2], [11, 1, 12], [1, 5], [1]]));13;4;3;Hess;2;92;1324;0.000;0;2.420;false
FunctionField(Polynomial([PolynomialRing(GF(23)) | [8, 20, 15, 16, 10, 5], [16, 4, 21, 5, 13], [16, 6, 5, 18], [15, 9, 17], [22, 7], [1]]));23;4;3;Linear algebra;2;286;4745;0.210;1.010;0.080;false
FunctionField(Polynomial([PolynomialRing(GF(13)) | [4, 1, 10, 7, 5, 3], [1, 10, 10, 2, 11], [7, 3, 12, 9], [5, 1, 7], [8, 7], [1]]));13;4;3;Hess;2;95;1521;0.000;0;2.940;false
FunctionField(Polynomial([PolynomialRing(GF(13)) | [10, 9, 8, 2, 10, 2], [1, 0, 6, 7, 3], [3, 5, 1, 11], [12, 12, 7], [4, 12], [1]]));13;4;3;Hess;2;93;1666;0.000;0;2.890;false
FunctionField(Polynomial([PolynomialRing(GF(23)) | [1, 3, 4, 10, 11, 15], [16, 16, 19, 13, 13], [3, 1, 5, 4], [22, 12, 7], [1, 3], [1]]));23;4;3;Linear algebra;2;282;5474;0.200;0.970;0.100;false
FunctionField(Polynomial([PolynomialRing(GF(23)) | [9, 16, 15, 15, 0, 15], [4, 20, 13, 0, 1], [10, 16, 5, 2], [20, 20, 13], [22, 1]]));23;4;3;Linear algebra;2;264;5985;0.090;0.860;0.100;false
